"Path","OptimizedPath","BeforeMB","AfterMB","Reduction"
"skoda/modrang/scene.gltf","skoda/modrang/scene.optimized.glb","63.22","3.96","93.7"
"skoda/models/scene.gltf","skoda/models/scene.optimized.glb","58.87","2.48","95.8"
"skoda/mods/scene.gltf","skoda/mods/scene.optimized.glb","39.38","2.62","93.3"
"skoda/mc63/scene.gltf","skoda/mc63/scene.optimized.glb","35.03","2.88","91.8"
"cupra/copraleon/scene.gltf","cupra/copraleon/scene.optimized.glb","34.1","2.32","93.2"
"audi/mod7/scene.gltf","audi/mod7/scene.optimized.glb","33.21","4.41","86.7"
"audi/mod8m/scene.gltf","audi/mod8m/scene.optimized.glb","27.7","1.67","94"
"cupra/modcopra/scene.gltf","cupra/modcopra/scene.optimized.glb","26.88","2.03","92.5"
"audi/mod/scene.gltf","audi/mod/scene.optimized.glb","23.51","1.45","93.8"
"seat/ford1/scene.gltf","seat/ford1/scene.optimized.glb","20.64","1.22","94.1"
"Ram/moddg/scene.gltf","Ram/moddg/scene.optimized.glb","19.22","4.84","74.8"
"corvette/c123/scene.gltf","corvette/c123/scene.optimized.glb","18.05","2.75","84.7"
"ford/gti/scene.gltf","ford/gti/scene.optimized.glb","17.51","5.39","69.2"
"landrover/mmm/scene.gltf","landrover/mmm/scene.optimized.glb","17.17","3.7","78.5"
"audi/mod5/scene.gltf","audi/mod5/scene.optimized.glb","16.74","1.15","93.1"
"audi/mod3/scene.gltf","audi/mod3/scene.optimized.glb","13.41","2.12","84.2"
"BMW/models/scene.gltf","BMW/models/scene.optimized.glb","12.54","2.87","77.1"
"skoda/suberb/scene.gltf","skoda/suberb/scene.optimized.glb","10.33","1.34","87"
"BMW/msa1/scene.gltf","BMW/msa1/scene.optimized.glb","9.35","1.16","87.6"
"seat/smodel/scene.gltf","seat/smodel/scene.optimized.glb","9.31","2.16","76.8"
"skoda/mmoo/scene.gltf","skoda/mmoo/scene.optimized.glb","9.18","0.74","91.9"
"BMW/m4mo/scene.gltf","BMW/m4mo/scene.optimized.glb","6.66","1.14","82.9"
"audi/mod4/scene.gltf","audi/mod4/scene.optimized.glb","5.68","0.93","83.7"
"mercedes/m123/scene.gltf","mercedes/m123/scene.optimized.glb","4.6","1.04","77.4"
"BMW/modm3/scene.gltf","BMW/modm3/scene.optimized.glb","3.95","1.22","69"
"cupra/modc7/scene.gltf","cupra/modc7/scene.optimized.glb","3.82","1.21","68.4"
"BMW/modm4/scene.gltf","BMW/modm4/scene.optimized.glb","3.8","1.2","68.6"
"audi/mod2/scene.gltf","audi/mod2/scene.optimized.glb","3.43","1.9","44.8"
"audi/mod6/scene.gltf","audi/mod6/scene.optimized.glb","3.4","0.87","74.5"
"Ram/modram/scene.gltf","Ram/modram/scene.optimized.glb","2.96","0.56","81.1"
"cupra/modell/scene.gltf","cupra/modell/scene.optimized.glb","2.37","0.34","85.7"
"BMW/modelbm2/scene.gltf","BMW/modelbm2/scene.optimized.glb","2.35","0.34","85.4"
